これから折々お宅へ伺っても宜ござんすか	ええいらっしゃい
役を極めて懸合でやって見ました。その主意はなるべく作中の人物に同情を持ってその性格を発揮するのを第一として、それに手真似や身振りを添えます。白はなるべくその時代の人を写し出すのが主で、御嬢さんでも丁稚でも、その人物が出てきたようにやるんです	じゃ、まあ芝居見たようなものじゃありませんか
ええ衣装と書割がないくらいなものですな	失礼ながらうまく行きますか
まあ第一回としては成功した方だと思います	それでこの前やったとおっしゃる心中物というと
その、船頭が御客を乗せて芳原へ行く所なんで	大変な幕をやりましたな
仲居というのは娼家の下婢にあたるものですかな	まだよく研究はして見ませんが仲居は茶屋の下女で、遣手というのが女部屋の助役見たようなものだろうと思います
なるほど仲居は茶屋に隷属するもので、遣手は娼家に起臥する者ですね。次に見番と云うのは人間ですかまたは一定の場所を指すのですか、もし人間とすれば男ですか女ですか	見番は何でも男の人間だと思います
何を司どっているんですかな	さあそこまではまだ調べが届いておりません。その内調べて見ましょう
それで朗読家は君のほかにどんな人が加わったんですか	いろいろおりました。花魁が法学士のＫ君でしたが、口髯を生やして、女の甘ったるいせりふを使かうのですからちょっと妙でした。それにその花魁が癪を起すところがあるので……
朗読でも癪を起さなくっちゃ、いけないんですか	ええとにかく表情が大事ですから
うまく癪が起りましたか	癪だけは第一回には、ちと無理でした
ところで君は何の役割でした	私しは船頭
それは飛んだ事で	第二回からは、もっと奮発して盛大にやるつもりなので、今日出ましたのも全くそのためで、実は先生にも一つ御入会の上御尽力を仰ぎたいので
僕にはとても癪なんか起せませんよ	いえ、癪などは起していただかんでもよろしいので、ここに賛助員の名簿が
はあ賛成員にならん事もありませんが、どんな義務があるのですか	義務と申して別段是非願う事もないくらいで、ただ御名前だけを御記入下さって賛成の意さえ御表し被下ればそれで結構です
三毛は御飯をたべるかい	いいえ今朝からまだ何にも食べません、あったかにして御火燵に寝かしておきました
どうも困るね、御飯をたべないと、身体が疲れるばかりだからね	そうでございますとも、私共でさえ一日御をいただかないと、明くる日はとても働けませんもの
御医者様へ連れて行ったのかい	ええ、あの御医者はよっぽど妙でございますよ。私が三毛をだいて診察場へ行くと、風邪でも引いたのかって私の脈をとろうとするんでしょう。いえ病人は私ではございません。これですって三毛を膝の上へ直したら、にやにや笑いながら、猫の病気はわしにも分らん、抛っておいたら今に癒るだろうってんですもの、あんまり苛いじゃございませんか。腹が立ったから、それじゃ見ていただかなくってもようございますこれでも大事の猫なんですって、三毛を懐へ入れてさっさと帰って参りました
ほんにねえ	ほんにねえ
何だかしくしく云うようだが……	ええきっと風邪を引いて咽喉が痛むんでございますよ。風邪を引くと、どなたでも御咳が出ますからね……
それに近頃は肺病とか云うものが出来てのう	ほんとにこの頃のように肺病だのペストだのって新しい病気ばかり殖えた日にゃ油断も隙もなりゃしませんのでございますよ
旧幕時代に無い者に碌な者はないから御前も気をつけないといかんよ	そうでございましょうかねえ
風邪を引くといってもあまり出あるきもしないようだったに……	いえね、あなた、それが近頃は悪い友達が出来ましてね
悪い友達？	ええあの表通りの教師の所にいる薄ぎたない雄猫でございますよ
教師と云うのは、あの毎朝無作法な声を出す人かえ	ええ顔を洗うたんびに鵝鳥が絞め殺されるような声を出す人でござんす
あんな声を出して何の呪いになるか知らん。御維新前は中間でも草履取りでも相応の作法は心得たもので、屋敷町などで、あんな顔の洗い方をするものは一人もおらなかったよ	そうでございましょうともねえ
あんな主人を持っている猫だから、どうせ野良猫さ、今度来たら少し叩いておやり	叩いてやりますとも、三毛の病気になったのも全くあいつの御蔭に相違ございませんもの、きっと讐をとってやります
何か新体詩でも作っているのかね。面白いのが出来たら見せたまえ	うん、ちょっとうまい文章だと思ったから今翻訳して見ようと思ってね
文章？　誰れの文章だい	誰れのか分らんよ
無名氏か、無名氏の作にも随分善いのがあるからなかなか馬鹿に出来ない。全体どこにあったのか	第二読本
第二読本？　第二読本がどうしたんだ	僕の翻訳している名文と云うのは第二読本の中にあると云う事さ
冗談じゃない。孔雀の舌の讐を際どいところで討とうと云う寸法なんだろう	僕は君のような法螺吹きとは違うさ
巨人、引力	何だいその巨人引力と云うのは
巨人引力と云う題さ	妙な題だな、僕には意味がわからんね
引力と云う名を持っている巨人というつもりさ	少し無理なつもりだが表題だからまず負けておくとしよう。それから早々本文を読むさ、君は声が善いからなかなか面白い
巨人が地中に住む故に	彼は巨人引力である。彼は強い。彼は万物を己れの方へと引く。彼は家屋を地上に引く。引かねば飛んでしまう。小児も飛んでしまう。葉が落ちるのを見たろう。あれは巨人引力が呼ぶのである。本を落す事があろう。巨人引力が来いというからである。球が空にあがる。巨人引力は呼ぶ。呼ぶと落ちてくる
それぎりかい	むむ、甘いじゃないか
いやこれは恐れ入った。飛んだところでトチメンボーの御返礼に預った	御返礼でもなんでもないさ、実際うまいから訳して見たのさ、君はそう思わんかね
何も君を降参させる考えはないさ。ただ面白い文章だと思ったから訳して見たばかりさ	いや実に面白い。そう来なくっちゃ本ものでない。凄いものだ。恐縮だ
そんなに恐縮するには及ばん。僕も近頃は水彩画をやめたから、その代りに文章でもやろうと思ってね	どうして遠近無差別黒白平等の水彩画の比じゃない。感服の至りだよ
先日は君の紹介で越智東風と云う人が来たよ	ああ上りましたか、あの越智東風と云う男は至って正直な男ですが少し変っているところがあるので、あるいは御迷惑かと思いましたが、是非紹介してくれというものですから……
別に迷惑の事もないがね……	こちらへ上っても自分の姓名のことについて何か弁じて行きゃしませんか
いいえ、そんな話もなかったようだ	そうですか、どこへ行っても初対面の人には自分の名前の講釈をするのが癖でしてね
あの東風と云うのを音で読まれると大変気にするので	はてね
私しの名は越智東風ではありません、越智こちですと必ず断りますよ	妙だね
それが全く文学熱から来たので、こちと読むと遠近と云う成語になる、のみならずその姓名が韻を踏んでいると云うのが得意なんです。それだから東風を音で読むと僕がせっかくの苦心を人が買ってくれないといって不平を云うのです	こりゃなるほど変ってる
先日来た時は朗読会で船頭になって女学生に笑われたといっていたよ	うむそれそれ
その朗読会さ。せんだってトチメンボーを御馳走した時にね。その話しが出たよ。何でも第二回には知名の文士を招待して大会をやるつもりだから、先生にも是非御臨席を願いたいって。それから僕が今度も近松の世話物をやるつもりかいと聞くと、いえこの次はずっと新しい者を撰んで金色夜叉にしましたと云うから、君にゃ何の役が当ってるかと聞いたら私は御宮ですといったのさ。東風の御宮は面白かろう。僕は是非出席して喝采しようと思ってるよ	面白いでしょう
どうせ僕などは行徳の俎と云う格だからなあ	まずそんなところだろう
あの水仙は暮に僕が風呂の帰りがけに買って来て挿したのだが、よく持つじゃないか	暮といえば、去年の暮に僕は実に不思議な経験をしたよ
たしか暮の二十七日と記憶しているがね。例の東風から参堂の上是非文芸上の御高話を伺いたいから御在宿を願うと云う先き触れがあったので、朝から心待ちに待っていると先生なかなか来ないやね。昼飯を食ってストーブの前でバリー・ペーンの滑稽物を読んでいるところへ静岡の母から手紙が来たから見ると、年寄だけにいつまでも僕を小供のように思ってね。寒中は夜間外出をするなとか、冷水浴もいいがストーブを焚いて室を煖かにしてやらないと風邪を引くとかいろいろの注意があるのさ。なるほど親はありがたいものだ、他人ではとてもこうはいかないと、呑気な僕もその時だけは大に感動した。それにつけても、こんなにのらくらしていては勿体ない。何か大著述でもして家名を揚げなくてはならん。母の生きているうちに天下をして明治の文壇に迷亭先生あるを知らしめたいと云う気になった。それからなお読んで行くと御前なんぞは実に仕合せ者だ。露西亜と戦争が始まって若い人達は大変な辛苦をして御国のために働らいているのに節季師走でもお正月のように気楽に遊んでいると書いてある。――僕はこれでも母の思ってるように遊んじゃいないやね――そのあとへ以て来て、僕の小学校時代の朋友で今度の戦争に出て死んだり負傷したものの名前が列挙してあるのさ。その名前を一々読んだ時には何だか世の中が味気なくなって人間もつまらないと云う気が起ったよ。一番仕舞にね。私しも取る年に候えば初春の御雑煮を祝い候も今度限りかと……何だか心細い事が書いてあるんで、なおのこと気がくさくさしてしまって早く東風が来れば好いと思ったが、先生どうしても来ない。そのうちとうとう晩飯になったから、母へ返事でも書こうと思ってちょいと十二三行かいた。母の手紙は六尺以上もあるのだが僕にはとてもそんな芸は出来んから、いつでも十行内外で御免蒙る事に極めてあるのさ。すると一日動かずにおったものだから、胃の具合が妙で苦しい。東風が来たら待たせておけと云う気になって、郵便を入れながら散歩に出掛けたと思い給え。いつになく富士見町の方へは足が向かないで土手三番町の方へ我れ知らず出てしまった。ちょうどその晩は少し曇って、から風が御濠の向うから吹き付ける、非常に寒い。神楽坂の方から汽車がヒューと鳴って土手下を通り過ぎる。大変淋しい感じがする。暮、戦死、老衰、無常迅速などと云う奴が頭の中をぐるぐる馳け廻る。よく人が首を縊ると云うがこんな時にふと誘われて死ぬ気になるのじゃないかと思い出す。ちょいと首を上げて土手の上を見ると、いつの間にか例の松の真下に来ているのさ	例の松た、何だい
首懸の松さ	首懸の松は鴻の台でしょう
鴻の台のは鐘懸の松で、土手三番町のは首懸の松さ。なぜこう云う名が付いたかと云うと、昔しからの言い伝えで誰でもこの松の下へ来ると首が縊りたくなる。土手の上に松は何十本となくあるが、そら首縊りだと来て見ると必ずこの松へぶら下がっている。年に二三返はきっとぶら下がっている。どうしても他の松では死ぬ気にならん。見ると、うまい具合に枝が往来の方へ横に出ている。ああ好い枝振りだ。あのままにしておくのは惜しいものだ。どうかしてあすこの所へ人間を下げて見たい、誰か来ないかしらと、四辺を見渡すと生憎誰も来ない。仕方がない、自分で下がろうか知らん。いやいや自分が下がっては命がない、危ないからよそう。しかし昔の希臘人は宴会の席で首縊りの真似をして余興を添えたと云う話しがある。一人が台の上へ登って縄の結び目へ首を入れる途端に他のものが台を蹴返す。首を入れた当人は台を引かれると同時に縄をゆるめて飛び下りるという趣向である。果してそれが事実なら別段恐るるにも及ばん、僕も一つ試みようと枝へ手を懸けて見ると好い具合に撓る。撓り按排が実に美的である。首がかかってふわふわするところを想像して見ると嬉しくてたまらん。是非やる事にしようと思ったが、もし東風が来て待っていると気の毒だと考え出した。それではまず東風に逢って約束通り話しをして、それから出直そうと云う気になってついにうちへ帰ったのさ	それで市が栄えたのかい
面白いですな	うちへ帰って見ると東風は来ていない。しかし今日は無拠処差支えがあって出られぬ、いずれ永日御面晤を期すという端書があったので、やっと安心して、これなら心置きなく首が縊れる嬉しいと思った。で早速下駄を引き懸けて、急ぎ足で元の所へ引き返して見る……
見るとどうしたんだい	いよいよ佳境に入りますね
なるほど伺って見ると不思議な事でちょっと有りそうにも思われませんが、私などは自分でやはり似たような経験をつい近頃したものですから、少しも疑がう気になりません	おや君も首を縊りたくなったのかい
いえ私のは首じゃないんで。これもちょうど明ければ昨年の暮の事でしかも先生と同日同刻くらいに起った出来事ですからなおさら不思議に思われます	こりゃ面白い
その日は向島の知人の家で忘年会兼合奏会がありまして、私もそれへヴァイオリンを携えて行きました。十五六人令嬢やら令夫人が集ってなかなか盛会で、近来の快事と思うくらいに万事が整っていました。晩餐もすみ合奏もすんで四方の話しが出て時刻も大分遅くなったから、もう暇乞いをして帰ろうかと思っていますと、某博士の夫人が私のそばへ来てあなたは○○子さんの御病気を御承知ですかと小声で聞きますので、実はその両三日前に逢った時は平常の通りどこも悪いようには見受けませんでしたから、私も驚ろいて精しく様子を聞いて見ますと、私しの逢ったその晩から急に発熱して、いろいろな譫語を絶間なく口走るそうで、それだけなら宜いですがその譫語のうちに私の名が時々出て来るというのです	御安くないね
医者を呼んで見てもらうと、何だか病名はわからんが、何しろ熱が劇しいので脳を犯しているから、もし睡眠剤が思うように功を奏しないと危険であると云う診断だそうで私はそれを聞くや否や一種いやな感じが起ったのです。ちょうど夢でうなされる時のような重くるしい感じで周囲の空気が急に固形体になって四方から吾が身をしめつけるごとく思われました。帰り道にもその事ばかりが頭の中にあって苦しくてたまらない。あの奇麗な、あの快活なあの健康な○○子さんが……	ちょっと失敬だが待ってくれ給え。さっきから伺っていると○○子さんと云うのが二返ばかり聞えるようだが、もし差支えがなければ承わりたいね、君
うむ	いやそれだけは当人の迷惑になるかも知れませんから廃しましょう
すべて曖々然として昧々然たるかたで行くつもりかね	はーい
とうとう飛び込んだのかい	そこまで行こうとは思わなかった
ハハハハこれは面白い。僕の経験と善く似ているところが奇だ。やはりゼームス教授の材料になるね。人間の感応と云う題で写生文にしたらきっと文壇を驚かすよ。……そしてその○○子さんの病気はどうなったかね	二三日前年始に行きましたら、門の内で下女と羽根を突いていましたから病気は全快したものと見えます
僕にもある	あるって、何があるんだい
僕のも去年の暮の事だ	みんな去年の暮は暗合で妙ですな
やはり同日同刻じゃないか	いや日は違うようだ。何でも二十日頃だよ。細君が御歳暮の代りに摂津大掾を聞かしてくれろと云うから、連れて行ってやらん事もないが今日の語り物は何だと聞いたら、細君が新聞を参考して鰻谷だと云うのさ。鰻谷は嫌いだから今日はよそうとその日はやめにした。翌日になると細君がまた新聞を持って来て今日は堀川だからいいでしょうと云う。堀川は三味線もので賑やかなばかりで実がないからよそうと云うと、細君は不平な顔をして引き下がった。その翌日になると細君が云うには今日は三十三間堂です、私は是非摂津の三十三間堂が聞きたい。あなたは三十三間堂も御嫌いか知らないが、私に聞かせるのだからいっしょに行って下すっても宜いでしょうと手詰の談判をする。御前がそんなに行きたいなら行っても宜ろしい、しかし一世一代と云うので大変な大入だから到底突懸けに行ったって這入れる気遣いはない。元来ああ云う場所へ行くには茶屋と云うものが在ってそれと交渉して相当の席を予約するのが正当の手続きだから、それを踏まないで常規を脱した事をするのはよくない、残念だが今日はやめようと云うと、細君は凄い眼付をして、私は女ですからそんなむずかしい手続きなんか知りませんが、大原のお母あさんも、鈴木の君代さんも正当の手続きを踏まないで立派に聞いて来たんですから、いくらあなたが教師だからって、そう手数のかかる見物をしないでもすみましょう、あなたはあんまりだと泣くような声を出す。それじゃ駄目でもまあ行く事にしよう。晩飯をくって電車で行こうと降参をすると、行くなら四時までに向うへ着くようにしなくっちゃいけません、そんなぐずぐずしてはいられませんと急に勢がいい。なぜ四時までに行かなくては駄目なんだと聞き返すと、そのくらい早く行って場所をとらなくちゃ這入れないからですと鈴木の君代さんから教えられた通りを述べる。それじゃ四時を過ぎればもう駄目なんだねと念を押して見たら、ええ駄目ですともと答える。すると君不思議な事にはその時から急に悪寒がし出してね
奥さんがですか	なに細君はぴんぴんしていらあね。僕がさ。何だか穴の明いた風船玉のように一度に萎縮する感じが起ると思うと、もう眼がぐらぐらして動けなくなった
急病だね	そろそろ出掛けましょうか
どうも少し険呑のような気がしまして	いえ格別の事もございますまい
あのちょっとくらい外出致しても差支えはございますまいね	さよう
御気分さえ御悪くなければ……	気分は悪いですよ
じゃともかくも頓服と水薬を上げますから	へえどうか、何だかちと、危ないようになりそうですな
それは残念でしたな	君のような親切な夫を持った妻君は実に仕合せだな
はい遅くなりまして、仏師屋へ参りましたらちょうど出来上ったところだと申しまして	どれお見せなさい。ああ奇麗に出来た、これで三毛も浮かばれましょう。金は剥げる事はあるまいね
ええ念を押しましたら上等を使ったからこれなら人間の位牌よりも持つと申しておりました。……それから猫誉信女の誉の字は崩した方が恰好がいいから少し劃を易えたと申しました	どれどれ早速御仏壇へ上げて御線香でもあげましょう
ほんとに残念な事を致しましたね。始めはちょいと風邪を引いたんでございましょうがねえ	甘木さんが薬でも下さると、よかったかも知れないよ
一体あの甘木さんが悪うございますよ、あんまり三毛を馬鹿にし過ぎまさあね	そう人様の事を悪く云うものではない。これも寿命だから
つまるところ表通りの教師のうちの野良猫が無暗に誘い出したからだと、わたしは思うよ	ええあの畜生が三毛のかたきでございますよ
世の中は自由にならん者でのう。三毛のような器量よしは早死をするし。不器量な野良猫は達者でいたずらをしているし……	その通りでございますよ。三毛のような可愛らしい猫は鐘と太鼓で探してあるいたって、二人とはおりませんからね
出来るものなら三毛の代りに……	あの教師の所の野良が死ぬと御誂え通りに参ったんでございますがねえ
しかし猫でも坊さんの御経を読んでもらったり、戒名をこしらえてもらったのだから心残りはあるまい	そうでございますとも、全く果報者でございますよ。ただ慾を云うとあの坊さんの御経があまり軽少だったようでございますね
少し短か過ぎたようだったから、大変御早うございますねと御尋ねをしたら、月桂寺さんは、ええ利目のあるところをちょいとやっておきました、なに猫だからあのくらいで充分浄土へ行かれますとおっしゃったよ	あらまあ……しかしあの野良なんかは……
ハハハハ面白い	鼻汁を垂らすのは、ちと酷だから消そう
あなたちょっと	なんだ
あなたちょっと	なんだよ
今月はちっと足りませんが……	足りんはずはない、医者へも薬礼はすましたし、本屋へも先月払ったじゃないか。今月は余らなければならん
それでもあなたが御飯を召し上らんで麺麭を御食べになったり、ジャムを御舐めになるものですから	元来ジャムは幾缶舐めたのかい
今月は八つ入りましたよ	八つ？　そんなに舐めた覚えはない
あなたばかりじゃありません、子供も舐めます	いくら舐めたって五六円くらいなものだ
いやに頑固だな	ジャムばかりじゃないんです、ほかに買わなけりゃ、ならない物もあります
焼芋を食うも蛇足だ、割愛しよう	香一もあまり唐突だから已めろ
また巨人引力かね	そう、いつでも巨人引力ばかり書いてはおらんさ。天然居士の墓銘を撰しているところなんだ
天然居士と云うなあやはり偶然童子のような戒名かね	偶然童子と云うのもあるのかい
なに有りゃしないがまずその見当だろうと思っていらあね	偶然童子と云うのは僕の知ったものじゃないようだが天然居士と云うのは、君の知ってる男だぜ
一体だれが天然居士なんて名を付けてすましているんだい	例の曾呂崎の事だ。卒業して大学院へ這入って空間論と云う題目で研究していたが、あまり勉強し過ぎて腹膜炎で死んでしまった。曾呂崎はあれでも僕の親友なんだからな
親友でもいいさ、決して悪いと云やしない。しかしその曾呂崎を天然居士に変化させたのは一体誰の所作だい	僕さ、僕がつけてやったんだ。元来坊主のつける戒名ほど俗なものは無いからな
まあその墓碑銘と云う奴を見せ給え	何だ……空間に生れ、空間を究め、空間に死す。空たり間たり天然居士噫
なるほどこりゃあ善い、天然居士相当のところだ	善いだろう
この墓銘を沢庵石へ彫り付けて本堂の裏手へ力石のように抛り出して置くんだね。雅でいいや、天然居士も浮かばれる訳だ	僕もそうしようと思っているのさ
どうも御退屈様、もう帰りましょう	どこへ行ったんですかね
どこへ参るにも断わって行った事の無い男ですから分りかねますが、大方御医者へでも行ったんでしょう	甘木さんですか、甘木さんもあんな病人に捕まっちゃ災難ですな
近頃はどうです、少しは胃の加減が能いんですか	能いか悪いか頓と分りません、いくら甘木さんにかかったって、あんなにジャムばかり甞めては胃病の直る訳がないと思います
そんなにジャムを甞めるんですかまるで小供のようですね	ジャムばかりじゃないんで、この頃は胃病の薬だとか云って大根卸しを無暗に甞めますので……
驚ろいたな	何でも大根卸の中にはジヤスターゼが有るとか云う話しを新聞で読んでからです
この間などは赤ん坊にまで甞めさせまして……	ジャムをですか
いいえ大根卸を……あなた。坊や御父様がうまいものをやるからおいでてって、――たまに小供を可愛がってくれるかと思うとそんな馬鹿な事ばかりするんです。二三日前には中の娘を抱いて箪笥の上へあげましてね……	どう云う趣向がありました
なに趣向も何も有りゃしません、ただその上から飛び下りて見ろと云うんですわ、三つや四つの女の子ですもの、そんな御転婆な事が出来るはずがないです	なるほどこりゃ趣向が無さ過ぎましたね。しかしあれで腹の中は毒のない善人ですよ
あの上腹の中に毒があっちゃ、辛防は出来ませんわ	まあそんなに不平を云わんでも善いでさあ。こうやって不足なくその日その日が暮らして行かれれば上の分ですよ。苦沙弥君などは道楽はせず、服装にも構わず、地味に世帯向きに出来上った人でさあ
ところがあなた大違いで……	何か内々でやりますかね。油断のならない世の中だからね
ほかの道楽はないですが、無暗に読みもしない本ばかり買いましてね。それも善い加減に見計らって買ってくれると善いんですけれど、勝手に丸善へ行っちゃ何冊でも取って来て、月末になると知らん顔をしているんですもの、去年の暮なんか、月々のが溜って大変困りました	なあに書物なんか取って来るだけ取って来て構わんですよ。払いをとりに来たら今にやる今にやると云っていりゃ帰ってしまいまさあ
それでも、そういつまでも引張る訳にも参りませんから	それじゃ、訳を話して書籍費を削減させるさ
どうして、そんな言を云ったって、なかなか聞くものですか、この間などは貴様は学者の妻にも似合わん、毫も書籍の価値を解しておらん、昔し羅馬にこう云う話しがある。後学のため聞いておけと云うんです	そりゃ面白い、どんな話しですか
何んでも昔し羅馬に樽金とか云う王様があって……	樽金？　樽金はちと妙ですぜ
私は唐人の名なんかむずかしくて覚えられませんわ。何でも七代目なんだそうです	なるほど七代目樽金は妙ですな。ふんその七代目樽金がどうかしましたかい
あら、あなたまで冷かしては立つ瀬がありませんわ。知っていらっしゃるなら教えて下さればいいじゃありませんか、人の悪い	何冷かすなんて、そんな人の悪い事をする僕じゃない。ただ七代目樽金は振ってると思ってね……ええお待ちなさいよ羅馬の七代目の王様ですね、こうっとたしかには覚えていないがタークイン・ゼ・プラウドの事でしょう。まあ誰でもいい、その王様がどうしました
その王様の所へ一人の女が本を九冊持って来て買ってくれないかと云ったんだそうです	なるほど
王様がいくらなら売るといって聞いたら大変な高い事を云うんですって、あまり高いもんだから少し負けないかと云うとその女がいきなり九冊の内の三冊を火にくべて焚いてしまったそうです	惜しい事をしましたな
その本の内には予言か何かほかで見られない事が書いてあるんですって	へえー
あんなに本を買って矢鱈に詰め込むものだから人から少しは学者だとか何とか云われるんですよ。この間ある文学雑誌を見たら苦沙弥君の評が出ていましたよ	ほんとに？
何とかいてあったんです	なあに二三行ばかりですがね。苦沙弥君の文は行雲流水のごとしとありましたよ
それぎりですか	その次にね――出ずるかと思えば忽ち消え、逝いては長えに帰るを忘るとありましたよ
賞めたんでしょうか	まあ賞めた方でしょうな
せんだってなどは学校から帰ってすぐわきへ出るのに着物を着換えるのが面倒だものですから、あなた外套も脱がないで、机へ腰を掛けて御飯を食べるのです。御膳を火燵櫓の上へ乗せまして――私は御櫃を抱えて坐っておりましたがおかしくって……	何だかハイカラの首実検のようですな。しかしそんなところが苦沙弥君の苦沙弥君たるところで――とにかく月並でない
月並か月並でないか女には分りませんが、なんぼ何でも、あまり乱暴ですわ	しかし月並より好いですよ
一体、月並月並と皆さんが、よくおっしゃいますが、どんなのが月並なんです	月並ですか、月並と云うと――さようちと説明しにくいのですが……
曖昧じゃありませんよ、ちゃんと分っています、ただ説明しにくいだけの事でさあ	何でも自分の嫌いな事を月並と云うんでしょう
奥さん、月並と云うのはね、まず年は二八か二九からぬと言わず語らず物思いの間に寝転んでいて、この日や天気晴朗とくると必ず一瓢を携えて墨堤に遊ぶ連中を云うんです	そんな連中があるでしょうか
何だかごたごたして私には分りませんわ	それじゃ馬琴の胴へメジョオ・ペンデニスの首をつけて一二年欧州の空気で包んでおくんですね
そうすると月並が出来るでしょうか	何そんな手数のかかる事をしないでも出来ます。中学校の生徒に白木屋の番頭を加えて二で割ると立派な月並が出来上ります
まだいるのかはちと酷だな、すぐ帰るから待ってい給えと言ったじゃないか	万事あれなんですもの
今君の留守中に君の逸話を残らず聞いてしまったぜ	女はとかく多弁でいかん、人間もこの猫くらい沈黙を守るといいがな
君は赤ん坊に大根卸しを甞めさしたそうだな	ふむ
赤ん坊でも近頃の赤ん坊はなかなか利口だぜ。それ以来、坊や辛いのはどこと聞くときっと舌を出すから妙だ	まるで犬に芸を仕込む気でいるから残酷だ。時に寒月はもう来そうなものだな
寒月が来るのかい	来るんだ。午後一時までに苦沙弥の家へ来いと端書を出しておいたから
人の都合も聞かんで勝手な事をする男だ。寒月を呼んで何をするんだい	なあに今日のはこっちの趣向じゃない寒月先生自身の要求さ。先生何でも理学協会で演説をするとか云うのでね。その稽古をやるから僕に聴いてくれと云うから、そりゃちょうどいい苦沙弥にも聞かしてやろうと云うのでね。そこで君の家へ呼ぶ事にしておいたのさ――なあに君はひま人だからちょうどいいやね――差支えなんぞある男じゃない、聞くがいいさ
ところがその問題がマグネ付けられたノッズルについてなどと云う乾燥無味なものじゃないんだ。首縊りの力学と云う脱俗超凡な演題なのだから傾聴する価値があるさ	君は首を縊り損くなった男だから傾聴するが好いが僕なんざあ……
少し後れまして	さっきから二人で大待ちに待ったところなんだ。早速願おう、なあ君
うむ	コップへ水を一杯頂戴しましょう
罪人を絞罪の刑に処すると云う事は重にアングロサクソン民族間に行われた方法でありまして、それより古代に溯って考えますと首縊りは重に自殺の方法として行われた者であります。猶太人中に在っては罪人を石を抛げつけて殺す習慣であったそうでございます。旧約全書を研究して見ますといわゆるハンギングなる語は罪人の死体を釣るして野獣または肉食鳥の餌食とする意義と認められます。ヘロドタスの説に従って見ますと猶太人はエジプトを去る以前から夜中死骸を曝されることを痛く忌み嫌ったように思われます。エジプト人は罪人の首を斬って胴だけを十字架に釘付けにして夜中曝し物にしたそうで御座います。波斯人は……	寒月君首縊りと縁がだんだん遠くなるようだが大丈夫かい
これから本論に這入るところですから、少々御辛防を願います。……さて波斯人はどうかと申しますとこれもやはり処刑には磔を用いたようでございます。但し生きているうちに張付けに致したものか、死んでから釘を打ったものかその辺はちと分りかねます……	そんな事は分らんでもいいさ
まだいろいろ御話し致したい事もございますが、御迷惑であらっしゃいましょうから……	あらっしゃいましょうより、いらっしゃいましょうの方が聞きいいよ、ねえ苦沙弥君
どっちでも同じ事だ	さていよいよ本題に入りまして弁じます
弁じますなんか講釈師の云い草だ。演舌家はもっと上品な詞を使って貰いたいね	弁じますが下品なら何と云ったらいいでしょう
真に処刑として絞殺を用いましたのは、私の調べました結果によりますると、オディセーの二十二巻目に出ております。即ち彼のテレマカスがペネロピーの十二人の侍女を絞殺するという条りでございます。希臘語で本文を朗読しても宜しゅうございますが、ちと衒うような気味にもなりますからやめに致します。四百六十五行から、四百七十三行を御覧になると分ります	希臘語云々はよした方がいい、さも希臘語が出来ますと云わんばかりだ、ねえ苦沙弥君
それではこの両三句は今晩抜く事に致しまして次を弁じ――ええ申し上げます。
　この絞殺を今から想像して見ますと、これを執行するに二つの方法があります。第一は、彼のテレマカスがユーミアス及びフリーシャスの援を藉りて縄の一端を柱へ括りつけます。そしてその縄の所々へ結び目を穴に開けてこの穴へ女の頭を一つずつ入れておいて、片方の端をぐいと引張って釣し上げたものと見るのです	つまり西洋洗濯屋のシャツのように女がぶら下ったと見れば好いんだろう
その通りで、それから第二は縄の一端を前のごとく柱へ括り付けて他の一端も始めから天井へ高く釣るのです。そしてその高い縄から何本か別の縄を下げて、それに結び目の輪になったのを付けて女の頸を入れておいて、いざと云う時に女の足台を取りはずすと云う趣向なのです	たとえて云うと縄暖簾の先へ提灯玉を釣したような景色と思えば間違はあるまい
提灯玉と云う玉は見た事がないから何とも申されませんが、もしあるとすればその辺のところかと思います。――それでこれから力学的に第一の場合は到底成立すべきものでないと云う事を証拠立てて御覧に入れます	面白いな
うん面白い	まず女が同距離に釣られると仮定します。また一番地面に近い二人の女の首と首を繋いでいる縄はホリゾンタルと仮定します。そこでα１α２……α６を縄が地平線と形づくる角度とし、Ｔ１Ｔ2……Ｔ６を縄の各部が受ける力と見做し、Ｔ７＝Ｘは縄のもっとも低い部分の受ける力とします。Ｗは勿論女の体重と御承知下さい。どうです御分りになりましたか
さて多角形に関する御存じの平均性理論によりますと、下のごとく十二の方程式が立ちます。T1cosα1=T2cosα2…… (1) T2cosα2=T3cosα3…… (2) ……	方程式はそのくらいで沢山だろう
それじゃ首脳だけは逐って伺う事にしようじゃないか	この式を略してしまうとせっかくの力学的研究がまるで駄目になるのですが……
何そんな遠慮はいらんから、ずんずん略すさ……	それでは仰せに従って、無理ですが略しましょう
